U+39A9	㦩
U+39AC	㦬
U+39AD	㦭
U+39AE	㦮
U+39B0	㦰
U+39B7	㦷
U+39B9	㦹
U+39BA	㦺
U+39BD	㦽
U+39BE	㦾
U+39BF	㦿
U+39C4	㧄
U+39C6	㧆
U+39C7	㧇
U+39C8	㧈
U+39C9	㧉
U+39CC	㧌
U+39D2	㧒
U+39D4	㧔
U+39D8	㧘
U+39DD	㧝
U+39E2	㧢
U+39E9	㧩
U+39EA	㧪
U+39EB	㧫
U+39EE	㧮
U+39F3	㧳
U+39F7	㧷
U+39FA	㧺
U+39FF	㧿
U+3A04	㨄
U+3A05	㨅
U+3A0A	㨊
U+3A0B	㨋
U+3A0E	㨎
U+3A10	㨐
U+3A14	㨔
U+3A15	㨕
U+3A21	㨡
U+3A25	㨥
U+3A27	㨧
U+3A2F	㨯
U+3A30	㨰
U+3A31	㨱
U+3A33	㨳
U+3A37	㨷
U+3A38	㨸
U+3A3B	㨻
U+3A3F	㨿
U+3A40	㩀
U+3A41	㩁
U+3A46	㩆
U+3A48	㩈
U+3A49	㩉
U+3A4C	㩌
U+3A4E	㩎
U+3A58	㩘
U+3A59	㩙
U+3A63	㩣
U+3A65	㩥
U+3A6E	㩮
U+3A74	㩴
U+3A75	㩵
U+3A7F	㩿
U+3A80	㪀
U+3A82	㪂
U+3A83	㪃
U+3A84	㪄
U+3A85	㪅
U+3A8C	㪌
U+3A8D	㪍
U+3A8F	㪏
U+3A90	㪐
U+3A91	㪑
U+3A92	㪒
U+3A93	㪓
U+3A9B	㪛
U+3AA1	㪡
U+3AA3	㪣
U+3AA4	㪤
U+3AA6	㪦
U+3AA7	㪧
U+3AA9	㪩
U+3AAA	㪪
U+3AAB	㪫
U+3AB4	㪴
U+3AB8	㪸
U+3AB9	㪹
U+3AC3	㫃
U+3ACD	㫍
U+3ACF	㫏
U+3AD0	㫐
U+3ADB	㫛
U+3ADF	㫟
U+3AF0	㫰
U+3AF1	㫱
U+3AF4	㫴
U+3AF9	㫹
U+3AFB	㫻
U+3B02	㬂
U+3B04	㬄
